Código;Descrição;Marca;Família;Un. Negócio;Filial;Estoque Armazen 01;Estoque Armazen 101;Pedido Protheus;Pedido Mercanet;Saldo Total Disponível
001885                        ;F-1000 - MAQUINA DE FUMACA - 220V - PLS                                         ;PLS PRO;MAQUINAS DE FUMACA;UNOI                                    ;FILIAL SC;0;1;0;0;1
002260                        ;W3 - CONTROLE PARA MAQUINA DE FUMACA - PLS                                      ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;109;0;0;109
005634                        ;DL251 - MIDAS                                                                   ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;14;0;0;14
005634                        ;DL251 - MIDAS                                                                   ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;6;0;0;0;6
006381                        ;MADI - KLARK TEKNIK                                                             ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;4;0;0;4
007182                        ;P-SENDING CARD MSD300-1 NOVASTAR                                                ;PROLED                   ;OUTROS ILUMINACAO;UNOI                                    ;FILIAL SC;0;34;0;0;34
008210                        ;DL252 - MIDAS                                                                   ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;6;0;0;6
008542                        ;CM1 FORMAT AUDIONATE DANTE NETWORK WITH UP TO 64 BI-DIRECTIONAL CHANNELS.       ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;33;0;0;33
008545                        ;DN9610 - REPETIDOR AES50 - KLARK TEKNIK                                         ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;10;0;0;10
008572                        ;DN200 V2 - DIRECT BOX - KLARK TEKNIK                                            ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;6;0;0;6
008884                        ;F-650 - MAQUINA DE FUMACA  110V - 400W - PLS                                    ;PLS PRO;MAQUINAS DE FUMACA;UNOI                                    ;FILIAL SC;0;77;0;0;77
008887                        ;F-650 - MAQUINA DE FUMACA (220V) - 400W - PLS                                   ;PLS PRO;MAQUINAS DE FUMACA;UNOI                                    ;FILIAL SC;0;226;0;0;226
009114                        ;IP2000 - SISTEMA PA PORTATIL (110V) - TURBOSOUND                                ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;1;0;0;1
009167                        ;IX12 - CAIXA ACUSTICA 1000W (220V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;6;0;0;0;6
009168                        ;IX15 - CAIXA ACUSTICA 1000W (220V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;24;0;0;24
009169                        ;IQ12 - CAIXA ACUSTICA 2500W (110V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;1;0;0;1
009212                        ;TFX122M-AN (110V) - MONITOR P/ PALCOS E AMBIENTES 1100W - TURBOSOUND            ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;4;0;0;4
009212                        ;TFX122M-AN (110V) - MONITOR P/ PALCOS E AMBIENTES 1100W - TURBOSOUND            ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;11;0;0;0;11
009259                        ;MR12 - MIXER DIGITAL 12 CANAIS - BIVOLT - MIDAS                                 ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;16;0;0;16
009260                        ;MR18 - MIXER DIGITAL 18 CANAIS - BIVOLT - MIDAS                                 ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;40;0;2;38
009268                        ;BEAM LED 350 - MOVING HEAD - PLS                                                ;PLS PRO;MOVING HEADS;UNOI                                    ;FILIAL SC;0;1;0;0;1
009269                        ;POWER LED RGBWA 12W - REFLETOR 7 LEDS RGBWA 12W - PLS                           ;PLS PRO;LUMINARIAS;UNOI                                    ;FILIAL SC;0;196;0;0;196
009309                        ;IP3000 - SISTEMA PA PORTATIL 110V - TURBOSOUND                                  ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;4;0;0;4
009309                        ;IP3000 - SISTEMA PA PORTATIL 110V - TURBOSOUND                                  ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;2;0;0;0;2
009444                        ;DM8000 - PROCESSADOR DE SINAIS COM DSP - KLARK TEKNIK                           ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;MATRIZ RS;1;0;0;0;1
009533                        ;DL16 - STAGE BOX - MIDAS                                                        ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;14;0;0;14
009533                        ;DL16 - STAGE BOX - MIDAS                                                        ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;5;0;0;0;5
009534                        ;DL32 - STAGE BOX - MIDAS                                                        ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;14;0;1;0;13
009535                        ;"IQ10 - CAIXA ATIVA 2500W 2-WAY 10"" 220V - TURBOSOUND                            ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;MATRIZ RS;16;0;0;0;16
009535                        ;"IQ10 - CAIXA ATIVA 2500W 2-WAY 10"" 220V - TURBOSOUND                            ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;10;0;0;10
009536                        ;"IQ15B - CAIXA ATIVA 3000W SUBWOOFER 15"" 220V - TURBOSOUND                       ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;1;0;0;1
009536                        ;"IQ15B - CAIXA ATIVA 3000W SUBWOOFER 15"" 220V - TURBOSOUND                       ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;6;0;0;0;6
009575                        ;H-2000 PRO - MAQUINA DE FUMACA - 220V - PLS                                     ;PLS PRO                  ;MAQUINAS DE FUMACA;UNOI                                    ;FILIAL SC;0;15;0;0;15
009622                        ;M32 LIVE - MIXER DIGITAL 32 CANAIS - MIDAS                                      ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;42;0;1;0;41
009623                        ;M32R LIVE - MIXER DIGITAL - BI-VOLT - MIDAS                                     ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;7;0;0;7
009623                        ;M32R LIVE - MIXER DIGITAL - BI-VOLT - MIDAS                                     ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;10;0;0;0;10
009659                        ;STAGE PAR COB ZOOM 100 WW REFLETOR LED - PLS                                    ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;MATRIZ RS;1;0;0;0;1
009662                        ;STAGE PAR COB 200 RGBW - REFLETOR LED - PLS                                     ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;MATRIZ RS;1;0;0;0;1
009724                        ;MINI - MESA DMX LITECRAFT - PLS                                                 ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;2;0;0;2
009728                        ;1024 - MESA DMX LITECRAFT - PLS                                                 ;PLS PRO                  ;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;71;0;0;71
009746                        ;SUPER PROPAR LED 54 RGBW - 5W - BI-VOLT - PLS                                   ;PLS PRO;LUMINARIAS;UNOI                                    ;FILIAL SC;0;2;0;0;2
009789                        ;IP3000 - SISTEMA PA PORTATIL 220V - TURBOSOUND                                  ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;3;0;0;3
009807                        ;REFLETOR COB 100 OUTDOOR RGBWA (60W) 5IN1 - PLS PRO                             ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;FILIAL SC;0;1;0;0;1
009867                        ;STAGE PAR COB ZOOM 100 CW REFLETOR LED - PLS                                    ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;MATRIZ RS;1;0;0;0;1
009869                        ;"IQ10 - CAIXA ATIVA 2500W 2-WAY 10"" 110V - TURBOSOUND                            ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;9;0;0;9
009872                        ;"IQ15B - CAIXA ATIVA 3000W SUBWOOFER 15"" 110V - TURBOSOUND                       ";TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;2;0;0;2
009873                        ;IX12 - CAIXA ACUSTICA 1000W (110V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;7;0;0;7
009874                        ;IX15 - CAIXA ACUSTICA 1000W (110V) - TURBOSOUND                                 ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;17;0;0;17
010011                        ;M32C - MIXER DIGITAL - BI-VOLT - MIDAS                                          ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;1;0;1;0
010011                        ;M32C - MIXER DIGITAL - BI-VOLT - MIDAS                                          ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;4;0;0;0;4
010168                        ;HERITAGE-D HD96 - CONSOLE DE MIXAGEM DIGITAL COM CASE - MIDAS                   ;MKT                      ;AUDIO;UNOA                                    ;FILIAL SC;0;10;0;0;10
010626                        ;IP1000 V2 - SISTEMA PA PORTATIL 110V - TURBOSOUND                               ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;7;0;0;7
010728                        ;IP1000 V2 - SISTEMA PA PORTATIL 220V - TURBOSOUND                               ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;4;0;0;0;4
010730                        ;ALTO-FALANTE DE PAREDE STEM - WALL1 - STEM                                      ;STEM                     ;MICROFONES;UNOA                                    ;FILIAL SC;0;84;1;0;83
010731                        ;CAIXA DE SOM DE MESA STEM - TABLE1 - STEM                                       ;STEM                     ;MICROFONES;UNOA                                    ;FILIAL SC;0;159;2;0;157
010732                        ;ALTO-FALANTE STEM - SPEAKER1 - STEM                                             ;STEM                     ;MICROFONES;UNOA                                    ;FILIAL SC;0;190;1;0;189
010733                        ;CENTRO DE COMUNICACAO STEM - HUB1 - STEM                                        ;STEM                     ;MICROFONES;UNOA                                    ;FILIAL SC;0;124;2;0;122
010734                        ;CENTRO DE CONTROLE STEM - CONTROL1 - STEM                                       ;STEM                     ;MICROFONES;UNOA                                    ;FILIAL SC;0;24;1;0;23
010918                        ;IP500 V2 - SISTEMA PA PORTATIL 220V - TURBOSOUND                                ;TURBOSOUND               ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;16;0;0;16
010942                        ;CMA1201 - AMPLIFICADOR PARA SOM AMBIENTE DE 120W BIVOLT - L AB GRUPPEN          ;LAB GRUPPEN              ;AMPLIFICADORES;UNOA                                    ;FILIAL SC;0;2;0;0;2
010943                        ;CM82 - AMPLIFICADOR PARA SOM AMBIENTE COM 8 ENTRADAS E 2 SAIDAS BIV- LAB GRUPPEN;LAB GRUPPEN              ;AMPLIFICADORES;UNOA                                    ;FILIAL SC;0;2;0;0;2
010944                        ;CM41 - AMPLIFICADOR PARA SOM AMBIENTE COM 4 ENTRADAS E 1 SAIDAS BIV - LAB GRUPPE;LAB GRUPPEN              ;AMPLIFICADORES;UNOA                                    ;FILIAL SC;0;2;0;0;2
010945                        ;CA1202 - AMPLIFICADOR PARA SOM AMBIENTE 2 X 120W BIVOLT - LAB GRUPPEN           ;LAB GRUPPEN              ;AMPLIFICADORES;UNOA                                    ;FILIAL SC;0;4;0;0;4
010946                        ;CA602 -AMPLIFICADOR PARA SOM AMBIENTE 2 X 60W BIVOLT -  LAB GRUPPEN             ;LAB GRUPPEN              ;AMPLIFICADORES;UNOA                                    ;FILIAL SC;0;3;0;0;3
010947                        ;CA601 - AMPLIFICADOR PARA SOM AMBIENTE 60W BIVOLT - LAB GRUPPEN                 ;LAB GRUPPEN              ;AMPLIFICADORES;UNOA                                    ;FILIAL SC;0;2;0;0;2
011075                        ;MOVING HEAD BEAM WASH FC/2 - SPIRIT 280 - PLS                                   ;PLS PRO                  ;MOVING HEADS;UNOI                                    ;FILIAL SC;0;208;0;1;207
011077                        ;MOVING HEAD FC/4 - LED AURA 350 ZOOM 15W - PLS                                  ;PLS PRO                  ;MOVING HEADS;UNOI                                    ;FILIAL SC;0;49;0;0;49
011079                        ;MOVING HEAD POWER BEAM WASH FC/2 - LED 900X - PLS                               ;PLS PRO                  ;MOVING HEADS;UNOI                                    ;FILIAL SC;0;82;0;0;82
011081                        ;REFLETOR - PAR LED 18X 18W RGBWA UV - PLS                                       ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;FILIAL SC;0;438;0;0;438
011082                        ;STROBO - LED NUKER 500W RGB - PLS                                               ;PLS PRO                  ;ILUMINACAO;UNOI                                    ;FILIAL SC;0;194;0;0;194
011096                        ;P4.9 - PAINEL LED INDOOR PARA INSTAL FIXA, 960X960MM, 192X192 PIXELS - PROLED   ;PROLED                   ;GABINETES - PROLED;UNOI                                    ;FILIAL SC;0;26;3;0;23
011097                        ;MEGA PAR 54RGBW V2 - LED 5W 8 CANAIS DMX - BI-VOLT - PLS                        ;PLS PRO                  ;LUMINARIAS;UNOI                                    ;FILIAL SC;0;337;0;0;337
011145                        ;MODULO P5 LED - PROLED                                                          ;PROLED                   ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;30;0;0;30
011184                        ;MASCARA DO MODULO PARA PAINEL DE LED P4.9  FIXED INDOOR                         ;PROLED                   ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;6;0;0;6
011222                        ;MS560 - PROJETOR WHITE                                                          ;BENQ                     ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC - 05;1;0;0;0;1
011223                        ;MX560 - PROJETOR WHITE                                                          ;BENQ                     ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC - 05;2;0;0;0;2
011224                        ;MW550 - PROJETOR WHITE                                                          ;BENQ                     ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC - 05;2;0;0;0;2
011237                        ;VDX208A - CAIXA LINE ARRAY ATIVA 2X8 1600W - DBR PRO                            ;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;71;0;0;71
011238                        ;VDX118A - SUBWOOFER ATIVO LINE ARRAY 18 1600W - DBR BRO                         ;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;96;0;0;96
011242                        ;VDX8-FB - BUMPER LINE ARRAY VDX - DBR PRO                                       ;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;58;0;0;58
011257                        ;FZ-700 - MAQUINA DE FUMACA -  220V - PLS                                        ;PLS PRO;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;318;0;0;318
011258                        ;FZ-700 - MAQUINA DE FUMACA 110V - PLS                                           ;PLS PRO;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;85;0;0;85
011259                        ;F1200 - MAQUINA DE FUMACA 220V - PLS                                            ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;42;0;0;42
011261                        ;F1500 DMX - MAQUINA DE FUMACA 220V - PLS                                        ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;132;0;0;132
011262                        ;F1500 DMX - MAQUINA DE FUMACA 110V - PLS                                        ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;25;0;0;25
011263                        ;F2000 DMX - MAQUINA DE FUMACA 220V - PLS                                        ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;57;0;0;57
011265                        ;F900 HAZER - MAQUINA DE FUMACA 220V - PLS                                       ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;41;0;0;41
011292                        ;DN9680 - EXTENSOR AES50 MULTI CANAL - KLARK TEKNIK                              ;MKT                      ;AUDIO;UNOA                                    ;FILIAL SC;0;6;0;0;6
011348                        ;KT-USB - MODULO NETWORK COM 48 CANAIS BIDIRECIONAIS - KLARK TEKNIK              ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;4;0;0;4
011353                        ;P3.9 INDOOR 1920hz - PROLED                                                     ;PROLED                   ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;35;0;0;35
011354                        ;P3 INDOOR MAGNETIC - PROLED                                                     ;PROLED                   ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;58;0;0;58
011396                        ;X-2 - CONTROLE COM FIO 220V PARA MAQUINA DE FUMACA F1200                        ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;15;0;0;15
011397                        ;X-2 - CONTROLE COM FIO 110V PARA MAQUINA DE FUMACA F1200                        ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;15;0;0;15
011398                        ;W-1 - CONTROLE SEM FIO 220V PARA MAQUINA DE FUMACA F1200                        ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;15;0;0;15
011399                        ;W-1 - CONTROLE SEM FIO 110V PARA MAQUINA DE FUMACA F1200                        ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;15;0;0;15
011400                        ;W-7 - CONTROLE SEM FIO 220V PARA MAQUINAS DE FUMACA  F1500 DMX, F2000 DMX E F30 ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;44;0;0;44
011401                        ;W-7 - CONTROLE SEM FIO 110V PARA MAQUINAS DE FUMACA  F1500 DMX, F2000 DMX E F30 ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;15;0;0;15
011402                        ;D-10 - CONTROLE COM FIO 220V PARA MAQUINAS DE FUMACA F3000PRO E F900 HAZER      ;PLS PRO;CONTROLADORES ILUMINACAO;UNOI                                    ;FILIAL SC;0;29;0;0;29
011403                        ;AS 80 - CONVERSOR DIGITAL DE AUDIO - MIDAS                                      ;MKT                      ;AUDIO;UNOA                                    ;FILIAL SC;0;4;0;0;4
011403                        ;AS 80 - CONVERSOR DIGITAL DE AUDIO - MIDAS                                      ;MKT                      ;AUDIO;UNOA                                    ;FILIAL SC - 05;12;0;0;0;12
011412                        ;VDX210A - CAIXA ATIVA LINE ARRAY DUAL 10 POL 2000W - DBR PRO                    ;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;59;0;0;59
011413                        ;VDX218SA - WOOFER ATIVO 18 POL - DBR PRO                                        ;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;70;0;0;70
011414                        ;VDX10-FB - SUPORTE (BUMPER) P/ VDX210A - DBR PRO                                ;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;34;0;0;34
011506                        ;VDX206 - CAIXA ATIVA LINE ARRAY C/ 2 WOOFER DE 6,5POL E 1 DRIVER DE 3POL - DBR P;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;10;0;0;10
011507                        ;VDX115SA - SUBWOOFER ATIVO LINE ARRAY DE 15POL - DBR PRO                        ;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;9;0;0;9
011508                        ;VDX206-FB - BUMPER P/ CAIXA LINE ARRAY VDX206 - DBR PRO                         ;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;8;0;0;8
011648                        ;P3.91 OUTDOOR RENTAL - PAINEL DE LED OUTDOOR P/ ALUGUEL, 500X1000MM - PROLED    ;PROLED                   ;GABINETES - PROLED;UNOI                                    ;FILIAL SC;0;190;0;0;190
011651                        ;"APEX 212 - CAIXA ATIVA LINE ARRAY,2 ALTO-FALANTES WOOFER 12"",2 DRIVERS 3"" - DBR ";DBR PRO                  ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;40;0;0;40
011652                        ;"APEX 218SA - CAIXA DE SOM ATIVA C/ 2 ALTO-FALANTES SUBWOOFER DE 18"" - DBR PRO   ";DBR PRO                  ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;31;0;0;31
011653                        ;APEX 212-FB - SUPORTE (BUMPER) P/ CAIXA ATIVA LINE ARRAY APEX 212 - DBR PRO     ;DBR PRO                  ;CAIXAS;UNOA                                    ;FILIAL SC;0;15;0;0;15
011655                        ;"CLARITY 5T-BK-CAIXA ACUSTICA PASSIVA 5"",1 ALTO-FALANTE TWEETER 25MM PRETA-DBR PR";DBR PRO                  ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;95;0;0;95
011658                        ;"CLARITY 6-BK-CAIXA ACUSTICA PASSIVA 6"",1 ALTO-FALANTE TWEETER 25MM PRETA-DBR PRO";DBR PRO                  ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;95;0;0;95
011659                        ;"CLARITY 6T-BK-CAIXA ACUSTICA PASSIVA 6"",1 ALTO-FALANTE TWEETER 25MM PRETA-DBR PR";DBR PRO                  ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;145;0;0;145
011660                        ;"CLARITY 6-WH-CAIXA ACUSTICA PASSIVA 6"",1 ALTO-FALANTE TWEETER 25MM BRANCA-DBR PR";DBR PRO                  ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;95;0;0;95
011661                        ;"CLARITY 6T-WH-CAIXA ACUSTICA PASSIVA 6"",1 ALTO-FALANTE TWEETER 25MM BRANCA-DBR P";DBR PRO                  ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC;0;145;0;0;145
011662                        ;P1.8 INDOOR RENTAL - PAINEL DE LED INDOOR P/ ALUGUEL,640X460MM, 14 BITS - PROLED;PROLED                   ;GABINETES - PROLED;UNOI                                    ;FILIAL SC;0;80;0;0;80
011664                        ;P1.8 INDOOR RENTAL BUMPER - SUPORTE P/ PAINEL DE LED P1.8 INDOOR - PROLED       ;PROLED                   ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;12;0;0;12
011665                        ;P3.91 OUTDOOR RENTAL BUMPER - SUPORTE P/ PAINEL DE LED P3.91 OUTDOOR - PROLED   ;PROLED                   ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;32;0;0;32
011669                        ;COLORLINE 18 - BARRA DE LED 4 EM 1, 18X4W - PLS PRO                             ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;175;0;0;175
011670                        ;STORM BAR 24 OUTDOOR - LED RGBWAUV CREE 6 EM 1 OUTDOOR, 24X6W, CASE C/6 - PLS PR;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;17;0;0;17
011671                        ;STORM PAR 18X OUTDOOR - LED RGBWAUV 6 EM 1 OUTDOOR, 18X6W, CASE C/8 - PLS PRO   ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;19;0;0;19
011672                        ;STELLA BEAM 12R - MOVING HEAD BEAM 12R C/ ANEL E BRACADEIRAS, CASE C/2 - PLS PRO;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;257;0;0;257
011673                        ;LED AURA 300 ZOOM - RING ZOOM MOVING HEAD, 19X12W - PLS PRO                     ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;21;0;0;21
011674                        ;COB 200 WW/CW - COB 200 4X30W WARM WHITE/COLD WHITE C/ BARNDOORS - PLS PRO      ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;65;0;0;65
011675                        ;BRUT 400 - BLINDER 4X100W WARM WHITE/COLD WHITE - PLS PRO                       ;PLS PRO                  ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;17;0;0;17
011714                        ;DL155 - STAGE BOX C/ 16 ENTRADAS E 16 SAIDAS E INTERFACE DIGITAL AES3 - MIDAS   ;MKT                      ;NAO CATEGORIZADO AUDIO;UNOA                                    ;FILIAL SC - 05;1;0;0;0;1
512015                        ;P-PH3.91 - MODULO INDOOR                                                        ;PROLED                   ;NAO CATEGORIZADO ILUMINACAO;UNOI                                    ;FILIAL SC;0;14;0;0;14
